id,year,year_treated,time_to_treatment,treated,y
E06000017,2018,1000,-1000,0,30.6
E06000017,2019,1000,-1000,0,31.9
E06000017,2020,1000,-1000,0,33.5
E06000017,2021,1000,-1000,0,34.5
E06000017,2022,1000,-1000,0,35.2
E06000018,2004,1000,-1000,0,20.7
E06000018,2005,1000,-1000,0,20.6
E06000018,2006,1000,-1000,0,22.4
E06000018,2007,1000,-1000,0,23.6
E06000018,2008,1000,-1000,0,24.5
E06000018,2009,1000,-1000,0,25
E06000018,2010,1000,-1000,0,25.2
E06000018,2011,1000,-1000,0,25.4
E06000018,2012,1000,-1000,0,25.5
E06000018,2013,1000,-1000,0,25.5
E06000018,2014,1000,-1000,0,25.7
E06000018,2015,1000,-1000,0,26.2
E06000018,2016,1000,-1000,0,27.3
E06000018,2017,1000,-1000,0,28.9
E06000018,2018,1000,-1000,0,30.6
E06000018,2019,1000,-1000,0,31.7
E06000018,2020,1000,-1000,0,32.1
E06000018,2021,1000,-1000,0,32
E06000018,2022,1000,-1000,0,31.8
E06000019,2004,1000,-1000,0,19.2
E06000019,2005,1000,-1000,0,19.2
E06000019,2006,1000,-1000,0,19.7
E06000019,2007,1000,-1000,0,19.8
E06000019,2008,1000,-1000,0,19.7
E06000019,2009,1000,-1000,0,19.8
E06000019,2010,1000,-1000,0,20.1
E06000019,2011,1000,-1000,0,20.5
E06000019,2012,1000,-1000,0,20.8
E06000019,2013,1000,-1000,0,21.3
E06000019,2014,1000,-1000,0,21.9
E06000019,2015,1000,-1000,0,22.4
E06000019,2016,1000,-1000,0,22.8
E06000019,2017,1000,-1000,0,23.2
E06000019,2018,1000,-1000,0,24.1
E06000019,2019,1000,-1000,0,25.5
E06000019,2020,1000,-1000,0,27.3
E06000019,2021,1000,-1000,0,28.7
E06000019,2022,1000,-1000,0,29.6
E06000020,2004,1000,-1000,0,22.3
E06000020,2005,1000,-1000,0,22.3
E06000020,2006,1000,-1000,0,22.6
E06000020,2007,1000,-1000,0,23.2
E06000020,2008,1000,-1000,0,23.9
E06000020,2009,1000,-1000,0,24.8
E06000020,2010,1000,-1000,0,25.5
E06000020,2011,1000,-1000,0,26.4
E06000020,2012,1000,-1000,0,26.7
E06000020,2013,1000,-1000,0,27.2
E06000020,2014,1000,-1000,0,27.3
E06000020,2015,1000,-1000,0,28.1
E06000020,2016,1000,-1000,0,28.9
E06000020,2017,1000,-1000,0,29.9
E06000020,2018,1000,-1000,0,30.8
E06000020,2019,1000,-1000,0,32
E06000020,2020,1000,-1000,0,34.1
E06000020,2021,1000,-1000,0,36.1
E06000020,2022,1000,-1000,0,37.6
E06000021,2004,1000,-1000,0,20.3
E06000021,2005,1000,-1000,0,20.1
E06000021,2006,1000,-1000,0,21.8
E06000021,2007,1000,-1000,0,22.9
E06000021,2008,1000,-1000,0,23.6
E06000021,2009,1000,-1000,0,23.7
E06000021,2010,1000,-1000,0,23.8
E06000021,2011,1000,-1000,0,24.1
E06000021,2012,1000,-1000,0,24.3
E06000021,2013,1000,-1000,0,24.3
E06000021,2014,1000,-1000,0,24.2
E06000021,2015,1000,-1000,0,24.2
E06000021,2016,1000,-1000,0,24.6
E06000021,2017,1000,-1000,0,25.6
E06000021,2018,1000,-1000,0,27.1
E06000021,2019,1000,-1000,0,28.7
E06000021,2020,1000,-1000,0,30.4
E06000021,2021,1000,-1000,0,31.6
E06000021,2022,1000,-1000,0,32.4
E06000022,2004,2017,-13,1,21.1
E06000022,2005,2017,-12,1,20.9
E06000022,2006,2017,-11,1,22.8
E06000022,2007,2017,-10,1,24.1
E06000022,2008,2017,-9,1,25.2
E06000022,2009,2017,-8,1,25.7
E06000022,2010,2017,-7,1,25.8
E06000022,2011,2017,-6,1,25.8
E06000022,2012,2017,-5,1,25.8
E06000022,2013,2017,-4,1,26.1
E06000022,2014,2017,-3,1,26.7
E06000022,2015,2017,-2,1,27.3
E06000022,2016,2017,-1,1,27.7
E06000022,2017,2017,0,1,28.2
E06000022,2018,2017,1,1,28.6
E06000022,2019,2017,2,1,29.1
E06000022,2020,2017,3,1,29.6
E06000022,2021,2017,4,1,30.3
E06000022,2022,2017,5,1,30.8
E06000023,2004,2017,-13,1,22.3
E06000023,2005,2017,-12,1,22.3
E06000023,2006,2017,-11,1,23.3
E06000023,2007,2017,-10,1,24.5
E06000023,2008,2017,-9,1,26
E06000023,2009,2017,-8,1,27.2
E06000023,2010,2017,-7,1,27.9
E06000023,2011,2017,-6,1,27.9
E06000023,2012,2017,-5,1,27.9
E06000023,2013,2017,-4,1,27.9
E06000023,2014,2017,-3,1,28.6
E06000023,2015,2017,-2,1,29.6
E06000023,2016,2017,-1,1,30.7
E06000023,2017,2017,0,1,31.4
E06000023,2018,2017,1,1,32.1
E06000023,2019,2017,2,1,32.9
E06000023,2020,2017,3,1,34.1
E06000023,2021,2017,4,1,35.1
E06000023,2022,2017,5,1,35.7
E06000024,2004,1000,-1000,0,23.3
E06000024,2005,1000,-1000,0,23.3
E06000024,2006,1000,-1000,0,23.6
E06000024,2007,1000,-1000,0,24.1
E06000024,2008,1000,-1000,0,24.5
E06000024,2009,1000,-1000,0,24.6
E06000024,2010,1000,-1000,0,24.8
E06000024,2011,1000,-1000,0,25.1
E06000024,2012,1000,-1000,0,26
E06000024,2013,1000,-1000,0,27
E06000024,2014,1000,-1000,0,27.9
E06000024,2015,1000,-1000,0,28.3
E06000024,2016,1000,-1000,0,28.4
E06000024,2017,1000,-1000,0,28.7
E06000024,2018,1000,-1000,0,29.4
E06000024,2019,1000,-1000,0,30.5
E06000024,2020,1000,-1000,0,31.6
E06000024,2021,1000,-1000,0,32.5
E06000024,2022,1000,-1000,0,33.1
E06000025,2004,2017,-13,1,31.1
E06000025,2005,2017,-12,1,31.1
E06000025,2006,2017,-11,1,32.4
E06000025,2007,2017,-10,1,33.6
E06000025,2008,2017,-9,1,34.6
E06000025,2009,2017,-8,1,35.2
E06000025,2010,2017,-7,1,36.2
E06000025,2011,2017,-6,1,37.5
E06000025,2012,2017,-5,1,39.3
E06000025,2013,2017,-4,1,40.7
E06000025,2014,2017,-3,1,42.1
E06000025,2015,2017,-2,1,43.3
E06000025,2016,2017,-1,1,44.4
E06000025,2017,2017,0,1,45.5
E06000025,2018,2017,1,1,46.3
E06000025,2019,2017,2,1,47.6
E06000025,2020,2017,3,1,49.3
E06000025,2021,2017,4,1,51.1
E06000025,2022,2017,5,1,52.2
E06000026,2004,1000,-1000,0,22.4
E06000026,2005,1000,-1000,0,22.3
E06000026,2006,1000,-1000,0,23.5
E06000026,2007,1000,-1000,0,24.4
E06000026,2008,1000,-1000,0,25.2
E06000026,2009,1000,-1000,0,25.8
E06000026,2010,1000,-1000,0,26.5
E06000026,2011,1000,-1000,0,27.1
E06000026,2012,1000,-1000,0,27.5
E06000026,2013,1000,-1000,0,27.7
E06000026,2014,1000,-1000,0,27.8
E06000026,2015,1000,-1000,0,28.3
E06000026,2016,1000,-1000,0,29.3
E06000026,2017,1000,-1000,0,30.2
E06000026,2018,1000,-1000,0,31.1
E06000026,2019,1000,-1000,0,31.5
E06000026,2020,1000,-1000,0,32.1
E06000026,2021,1000,-1000,0,32.6
E06000026,2022,1000,-1000,0,33
E06000027,2004,1000,-1000,0,18.8
E06000027,2005,1000,-1000,0,18.8
E06000027,2006,1000,-1000,0,19.7
E06000027,2007,1000,-1000,0,20.6
E06000027,2008,1000,-1000,0,21.5
E06000027,2009,1000,-1000,0,22.1
E06000027,2010,1000,-1000,0,22.4
E06000027,2011,1000,-1000,0,22.3
E06000027,2012,1000,-1000,0,22.3
E06000027,2013,1000,-1000,0,22.8
E06000027,2014,1000,-1000,0,23.2
E06000027,2015,1000,-1000,0,23.3
E06000027,2016,1000,-1000,0,23.1
E06000027,2017,1000,-1000,0,23.1
E06000027,2018,1000,-1000,0,23.8
E06000027,2019,1000,-1000,0,24.7
E06000027,2020,1000,-1000,0,25.9
E06000027,2021,1000,-1000,0,26.6
E06000027,2022,1000,-1000,0,27.1
E06000030,2004,1000,-1000,0,30.2
E06000030,2005,1000,-1000,0,30.2
E06000030,2006,1000,-1000,0,32.9
E06000030,2007,1000,-1000,0,35.8
E06000030,2008,1000,-1000,0,38.8
E06000030,2009,1000,-1000,0,40.5
E06000030,2010,1000,-1000,0,40.8
E06000030,2011,1000,-1000,0,40.3
E06000030,2012,1000,-1000,0,40.3
E06000030,2013,1000,-1000,0,41.4
E06000030,2014,1000,-1000,0,43.1
E06000030,2015,1000,-1000,0,45
E06000030,2016,1000,-1000,0,46.4
E06000030,2017,1000,-1000,0,48.1
E06000030,2018,1000,-1000,0,49.6
E06000030,2019,1000,-1000,0,50.9
E06000030,2020,1000,-1000,0,52.5
E06000030,2021,1000,-1000,0,54
E06000030,2022,1000,-1000,0,55.4
E06000031,2004,2017,-13,1,27.7
E06000031,2005,2017,-12,1,27.5
E06000031,2006,2017,-11,1,28.5
E06000031,2007,2017,-10,1,28.6
E06000031,2008,2017,-9,1,28.7
E06000031,2009,2017,-8,1,29.5
E06000031,2010,2017,-7,1,30.3
E06000031,2011,2017,-6,1,30.8
E06000031,2012,2017,-5,1,30.4
E06000031,2013,2017,-4,1,30.2
E06000031,2014,2017,-3,1,30.2
E06000031,2015,2017,-2,1,30.6
E06000031,2016,2017,-1,1,31.4
E06000031,2017,2017,0,1,32.3
E06000031,2018,2017,1,1,33.7
E06000031,2019,2017,2,1,34.4
E06000031,2020,2017,3,1,35.2
